Designator,Mid X,Mid Y,Rotation,Layer
C1,100.3,-83.9,90.0,bottom
C2,108.3375,-81.82,180.0,bottom
F1,101.2,-101.5925,270.0,bottom
R1,105.05,-101.64,270.0,bottom
R2,108.34,-101.64,90.0,bottom
R3,97.0,-83.9,270.0,bottom
R4,108.35,-84.525,180.0,bottom
