Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C4, C5, C6, C7, C8, C9",0805,10,10nF,C1710
C12,0805,1,100nF,C1711
C13,0805,1,10uF,C1713
"D1, D2, D3, D4, D5, D6, D7, D8",SK6812 MINI-E MX,8,SK6812MINI-E,C5149201
R1,0805,1,430R,C42000
"R2, R3, R4, R5, R6",0805,5,10K,C17414
U10,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,C130026
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,SN74AHCT125DR,C155176
