Designator,Mid X,Mid Y,Rotation,Layer
C1,104.0,-88.27,270.0,top
C2,124.0,-88.27,90.0,top
F1,95.67,-94.6025,270.0,top
U2,103.0,-93.8,180.0,top
U3,123.0,-93.8,180.0,top
